Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Estimated revenue (USD),Impressions,Impressions click-through rate (%)
VgdZ3pA2TlA,재미로 하는 Vibe Coding - 영어 회화 Tutor 앱 기능을 개선합니다.,"Jun 30, 2025",6390,248,22.837,3,3.177,7160,2.42
QwaPuylNYZI,DL Basic 04 - Multilayer Perceptrons : Deep Learning의 Deep을 Deep하게 Dig 해 보자,"Feb 27, 2024",1173,165,22.7525,0,0.031,4772,2.14
8AdV9lYuutg,Study Group : PKM Project - Obsidian Copilot 플러그인 설치부터 기본 사용법까지,"Jun 26, 2025",487,588,22.7467,3,0.925,7481,5.83
4m88fXD0uJ4,Crew AI 를 이용한 인맥관리 AI Agent 개발 과정 공유 - 미국 Study Group 조별 발표,"Jan 9, 2025",1194,593,22.5113,12,0.144,6797,2.78
N0lln-CTlUk,"재미로 하는 Vibe Coding - MCP : M7 Docker 배포 문서화 공유, AI4PKM 관련작업/시애틀 AI 생태계 정보 공유","Dec 8, 2025",10704,109,22.4052,0,0.282,4550,1.49
fED_jtEXTQ4,LangGraph - Memory (Checkpointers) 배운것을 응용해서 동시에 두 사람과 대화하는 챗봇을 만듭니다. (아수라백작을 안다면 적어도 50대?),"Oct 9, 2024",1529,428,22.0645,9,0.027,14909,1.98
eWe3dFHshgA,Human In The Loop (HITL) - 중요한 결정은 인간이 합니다. AI Agent 중요한 결정은 인간이 선택하게 만들기,"Nov 13, 2024",1703,385,21.9033,5,0.195,6547,3.5
21zTrgbaRrY,"재미로 하는 Vibe Coding - Token, copilot-instruction.md 알아보기. AI 로 소스코드 분석하기, 입으로 코딩하기","Jun 2, 2025",5541,347,21.6618,5,0.651,10392,2.44
lCvOOboeDRc,Backend 소스코드 분석 - 이번엔 AI Agent 만의 기능 중심으로 분석해 드립니다. AI Agent 가 하는 일이 무엇인지 확실하게 아시게 됩니다.,"Jan 29, 2025",686,710,21.0874,17,0.043,17717,2.86
O8R3affmAuI,"재미로 하는 Vibe Coding - Vibe로 MCP 공부 계속, Bootcamp 준비상황도 공유합니다.","Oct 20, 2025",11340,192,21.0688,5,0.697,9697,1.44
